Title,Rating,Description,Genre,Directors,Stars,Release Year
Murder Mystery 2,5.7,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding.","Action, Comedy, Crime",[],[],2023
 The Last of Us,8.8,"After ignoring the advice of locals, Joel and Ellie descend deeper into dangerous territory in search of the Fireflies - and Tommy.","Action, Adventure, Drama",[],[],2023
 The Last of Us,9.3,Ellie crosses paths with a vengeful group of survivors - and draws the attention of its leader. A weakened Joel faces a new threat.,"Action, Adventure, Drama",[],[],2023
Luther The Fallen Sun,6.4,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,"Crime, Drama, Mystery",[],[],2023
65,5.4,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Action, Adventure, Drama",[],[],2023
Renfield,6.4,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","Comedy, Fantasy, Horror",[],[],2023
Chor Nikal Ke Bhaga,7.8,"A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.","Crime, Drama, Thriller",[],[],2023
Shrinking,8.0,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own.","Comedy, Drama",[],[],2023
Taaza Khabar,8.2,"A Sanitation worker, how he stumbles upon magical powers which leads to a riveting new ride for the man, and how it stirs his humble life.","Action, Comedy, Drama",[],[],2023
Ghosted,5.8,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Action, Adventure, Comedy",[],[],2023
The Idol,5.6,"After a nervous breakdown derailed Jocelyn's last tour, she's determined to claim her rightful status as the greatest and sexiest pop star in America. Her passions are reignited when she ...                See full summary »",Drama,[],[],2023
Mission Majnu,7.3,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","Action, Drama, History",[],[],2023
The Pope s Exorcist,6.1,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","Horror, Thriller",[],[],2023
 The Last of Us,9.0,"A pregnant Anna places her trust in a lifelong friend. Later, Joel and Ellie near the end of their journey.","Action, Adventure, Drama",[],[],2023
The Diplomat,8.0,"In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future.","Drama, Thriller",[],[],2023
Kaleidoscope,6.6,"Centered around the largest heist ever attempted, the vengeance and betrayals that surround it.","Action, Crime, Drama",[],[],2023
Missing,7.1,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online.","Drama, Mystery, Thriller",[],[],2023
Queen Charlotte A Bridgerton Story,7.3,"Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch's cunning mother.","Drama, History, Romance",[],[],2023
Kisi Ka Bhai Kisi Ki Jaan,6.5,"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.","Action, Comedy, Drama",[],[],2023
The Mother,5.6,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.","Action, Thriller",[],[],2023
Varisu,6.0,"Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.","Action, Drama",[],[],2023
 Attack on Titan,9.7,"Ramzi and Halil, two refugee children, flee the approaching Colossal Titans as they surround the crowds of refugees. One year prior, Eren reflects on his previous experiences, and his future actions.","Animation, Action, Adventure",[],[],2013
Poker Face,7.9,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and solve.,"Comedy, Crime, Drama",[],[],2023
Farzi,8.4,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller.","Crime, Drama, Thriller",[],[],2023
Your Place or Mine,5.6,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,"Comedy, Romance",[],[],2023
Infinity Pool,6.1,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.","Crime, Horror, Mystery",[],[],2023
Silo,8.1,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,"Drama, Mystery, Sci-Fi",[],[],2023
 Succession,9.9,"While Logan doles out an unsavory task ahead of his trip to meet Matsson, Connor fixates on minutiae at his wedding.","Comedy, Drama",[],[],2018
Shehzada,4.6,"Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.","Action, Comedy, Drama",[],[],2023
Transformers Rise of the Beasts,6.6,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","Action, Adventure, Sci-Fi",[],[],2023
The Last Kingdom Seven Kings Must Die,6.9,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.","Action, Drama, History",[],[],2023
Thunivu,6.1,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,"Action, Crime, Thriller",[],[],2023
Daisy Jones The Six,8.1,Following the rise of rock band Daisy Jones and The Six through the 1970s Los Angeles music scene on their quest for worldwide icon status.,"Drama, Music, Romance",[],[],2023
We Have a Ghost,6.1,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA.","Adventure, Comedy, Family",[],[],2023
Beau Is Afraid,7.0,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","Comedy, Drama, Horror",[],[],2023
Boston Strangler,6.5,Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.,"Crime, Drama, History",[],[],2023
Citadel,6.1,"Global spy agency Citadel has fallen, and its agents' memories were wiped clean. Now the powerful syndicate, Manticore, is rising in the void. Can the Citadel agents recollect their past and summon the strength to fight back?","Action, Drama, Thriller",[],[],2023
FUBAR,6.5,A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.,"Action, Adventure, Thriller",[],[],2023
That 90s Show,6.4,"Now it's 1995, Leia Forman is visiting her grandparents for the summer where she bonds with a new generation of Point Place, WI, kids under the watchful eye of Kitty and the stern glare of Red.","Comedy, Drama, Romance",[],[],2023
Gaslight,7.2,"Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.","Crime, Mystery, Thriller",[],[],2023
Peter Pan Wendy,4.4,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","Action, Adventure, Comedy",[],[],2023
 One Piece,9.8,"As the battle between Zoro and King reaches its climax, Zoro, after figuring out the secret of King's abilities, uses his newfound power to create the King of Hell Three Sword Style.","Animation, Action, Adventure",[],[],1999
Sharper,6.7,"Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires.","Crime, Drama, Thriller",[],[],2023
 Black Mirror,7.5,An average woman is stunned to discover a global streaming platform has launched a prestige TV drama adaptation of her life - in which she is portrayed by Hollywood A-lister Salma Hayek.,"Drama, Mystery, Sci-Fi",[],[],2011
Love Death,7.5,Two churchgoing couples enjoy small town family life in Texas - until somebody picks up an axe.,"Biography, Crime, Drama",[],[],2023
Jury Duty,8.3,"It follows the workings of an American jury trial through the eyes of Ronald Gladden, a juror who is unaware the entire case is fake. Everyone except him is an actor, and everything that happens is carefully planned.",Comedy,[],[],2023
Lockwood Co ,7.4,"A tiny startup, run by two teenage boys and a newly arrived, supremely psychically gifted girl, a renegade trio destined to unravel a mystery that will change the course of history.","Action, Adventure, Drama",[],[],2023
Tu Jhoothi Main Makkaar,6.1,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.","Comedy, Romance",[],[],2023
Bholaa,6.5,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.","Action, Adventure, Crime",[],[],2023
Sirf Ek Bandaa Kaafi Hai,7.8,A common man with honesty and integrity can take on the system when he has truth on his side.,"Action, Drama",[],[],2023
 The Mandalorian,6.4,The Mandalorian visits an opulent world.,"Action, Adventure, Fantasy",[],[],2019
 The Mandalorian,7.4,The Mandalorian begins an important journey.,"Action, Adventure, Fantasy",[],[],2019
Winnie the Pooh Blood and Honey,3.0,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",Horror,[],[],2023
 Black Mirror,7.4,A young couple travel to a sleepy Scottish town to start work on a genteel nature documentary - but find themselves drawn to a juicy local story involving shocking events of the past.,"Drama, Mystery, Sci-Fi",[],[],2011
 The Mandalorian,7.0,"On Coruscant, former Imperials find amnesty in the New Republic.","Action, Adventure, Fantasy",[],[],2019
 Succession,9.6,"Ahead of the final board meeting on the Waystar-Gojo Deal, Kendall and Shiv try to shore up their opposing interests...and get a fix on the whereabouts of a physically and emotionally bruised Roman.","Comedy, Drama",[],[],2018
 Black Mirror,7.5,"In an alternative 1969, two men on a perilous high-tech mission wrestle with the consequences of an unimaginable tragedy.","Drama, Mystery, Sci-Fi",[],[],2011
 The Mandalorian,8.2,The Mandalorian and Grogu explore the ruins of a destroyed planet.,"Action, Adventure, Fantasy",[],[],2019
 The Mandalorian,8.8,Survivors come out of hiding.,"Action, Adventure, Fantasy",[],[],2019
Inspector Avinash,8.4,"The story revolves around the super cop Avinash Mishra of Uttar Pradesh, India. Based on year 1997, the narrative takes us through his struggle of overcoming each hurdle in reaching to the ...                See full summary »","Action, Thriller",[],[],2023
Kabzaa,6.7,"In 1947 a Gandhi follower and a freedom fighter were brutally attacked. Due to unavoidable circumstances, the freedom fighter son gets trapped in the mafia world and the story revolves between 1942 to 1986.","Action, Crime, Thriller",[],[],2023
To Catch a Killer,6.6,Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,"Action, Crime, Drama",[],[],2023
Rabbit Hole,7.5,"John Weir, a private espionage operative, battles over the preservation of democracy in a world constantly at odds.","Action, Drama, Thriller",[],[],2023
 The Mandalorian,7.7,Din Djarin returns to the hidden Mandalorian covert.,"Action, Adventure, Fantasy",[],[],2019
Ponniyin Selvan Part Two,7.7,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","Action, Adventure, Drama",[],[],2023
 The Mandalorian,8.2,The people of Nevarro need protection from rampant pirate attacks.,"Action, Adventure, Fantasy",[],[],2019
 The Mandalorian,8.5,The Mandalorian and his allies confront their enemies.,"Action, Adventure, Fantasy",[],[],2019
The Consultant,6.5,"Follows a relationship between employee and boss, asking how far we will go to get ahead, and to survive.","Comedy, Drama, Thriller",[],[],2023
