Title,Rating,Description,Genre,Directors,Stars,Release Year
Dead Ringers,6.5,"The Mantle twins, identical from head to toe, are on a mission to change the way women give birth.","Drama, Horror, Thriller",[],[],2023
Kanjoos Makhichoos,6.7,"Jamnaprasad Pandey is infamous in the entire town as a miser whose family is fed up with his penny-pinching habits. However, little does the family know that these savings is to fulfill his father's wish of going on a char-dhaam yatra.","Comedy, Drama, Family",[],[],2023
Mighty Morphin Power Rangers Once Always,5.7,"The Rangers come face-to-face with a familiar threat from the past. In the midst of a global crisis, they are called on once again to be the heroes the world needs.","Action, Adventure, Family",[],[],2023
Viduthalai Part 1,8.3,A police officer is recruited to capture the leader of a separatist group.,"Action, Crime, Drama",[],[],2023
 Barry,8.9,"Barry, having received a call from NoHo Hank, leaves to go save his family from his grasp. Barry then is confronted with a choice as he learns Mr. Cousineau is blamed for the death of Janice.","Action, Comedy, Crime",[],[],2018
 Ted Lasso,8.3,The Greyhounds try a new strategy that has everyone thinking outside the box. Sam prepares to host a VIP guest at Ola's.,"Comedy, Drama, Sport",[],[],2020
 Star Trek Picard,8.4,"After receiving a distress call from Beverly Crusher, Jean-Luc Picard enlists help from generations old and new for one last adventure: a mission that will change Starfleet and his old crew forever.","Action, Adventure, Drama",[],[],2020
Hidden Blade,6.5,"Follows the story of underground workers who risked their lives to send intelligence and defend the motherland, set after Japan's attack on Pearl Harbor when the Wang Jingwei regime declared war on Britain and the U.S.","Drama, History, Thriller",[],[],2023
The Machine,6.1,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,"Action, Comedy",[],[],2023
Kathal A Jackfruit Mystery,6.7,A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.,"Comedy, Crime, Drama",[],[],2023
 Ted Lasso,8.5,Colin and Isaac's friendship is tested. Roy is asked to do a press conference.,"Comedy, Drama, Sport",[],[],2020
 Ted Lasso,6.6,"While watching Henry, Ted fights the urge to spiral when Michelle and Dr. Jacob go on a romantic trip. An online leak has massive implications for Keeley.","Comedy, Drama, Sport",[],[],2020
Writer Padmabhushan,7.8,"Padmabhushan, a 25-year-old aspiring writer based out of Vijayawada and his middle class family take us on a roller coaster ride packed with innocuous fun and soft emotions, with their heart in the right place.","Comedy, Drama",[],[],2023
Extrapolations,6.1,"Unanticipated stories of how the upcoming changes to our planet will affect love, faith, work and family on a personal and human scale.","Drama, Mystery",[],[],2023
 Ted Lasso,7.8,The newly promoted AFC Richmond face mockery as pundits predict they'll finish dead last.,"Comedy, Drama, Sport",[],[],2020
Dog Gone,6.0,Based on the true story of a father and son who repair their fractured relationship during a forced hike of the Appalachian trail to find their beloved lost dog.,"Biography, Drama, Family",[],[],2023
I Love You,7.3,"Sathya is a highly successful corporate executive who look forward to a bright future with her fiance,Vishal.One night ,when she is about to board a fight to Delhi, Satya finds herself trapped within the office .What danger awaits her?","Drama, Romance, Thriller",[],[],2023
History of the World Part II,5.7,"Sequel to the 1981 film, History of the World: Part I.","Comedy, History",[],[],2023
Bas Kar Bassi,6.8,The comedian talks about his startup (a restaurant) that he and his four friends launched.,Comedy,[],[],2023
 Ted Lasso,8.5,"While some of the players head home to play for their countries in International matches, Edwin Akufo brings a business proposal to Rebecca.","Comedy, Drama, Sport",[],[],2020
Fireflies Parth Aur Jugnu,9.5,"A 14-year-old boy named Parth, who meets Jugnu, a mystical kid from the haunted forest of Bheem Mukteshwar.","Drama, Fantasy",[],[],2023
Black Knight,6.4,"A legendary delivery driver ""5-8"" with exceptional battle skills And a refugee ""Sawol"" who dreams of following in his footsteps.","Action, Adventure, Sci-Fi",[],[],2023
Gotham Knights,4.8,"Bruce Wayne is murdered and his adopted son forges an alliance with the children of Batman's enemies. As the city becomes more dangerous, these mismatched fugitives will become its next generation of saviors, known as the Gotham Knights.","Action, Crime, Drama",[],[],2023
The Company You Keep,7.3,"Tells the story of con-man Charlie and undercover C.I.A. officer Emma. A night of passion ignites love between the pair, who are on a collision course professionally.","Crime, Drama",[],[],2023
American Manhunt The Boston Marathon Bombing,7.5,Follows the tragedy when terrorists detonated a bomb at the Boston marathon's finish line. They carried out the attack by placing two homemade pressure cooker bombs that resulted in three fatalities and numerous injuries.,"Documentary, Crime",[],[],2023
Love Again,5.7,"A young woman tries to ease the pain of her fiancé's death by sending romantic texts to his old cell phone number, and forms a connection with the man the number has been reassigned to.","Comedy, Drama, Romance",[],[],2023
The Portable Door,6.0,"Paul Carpenter is an intern at a mysterious London firm with unconventional employers, including a CEO who wants to disrupt the ancient magical world with modern corporate practices.",Fantasy,[],[],2023
Platonic,7.0,Former childhood best friends reconnect as adults and try to get past the rift that led to their falling out.,"Comedy, Romance",[],[],2023
A Tourist s Guide to Love,5.7,"An executive goes through an unexpected breakup, then accepting an assignment to go undercover and learn about the tourist industry in Vietnam.","Adventure, Comedy, Romance",[],[],2023
Romancham,7.6,A game of Ouija board goes hilariously wrong when seven bachelors unexpectedly invite a spirit and try to make the best out of the situation.,"Comedy, Horror",[],[],2023
The Ark,5.1,"Follows the remaining crew of a spacecraft known as Ark One, who must become the best versions of themselves to stay on course and survive after experiencing a catastrophic event that caused massive destruction and loss of life.","Drama, Mystery, Sci-Fi",[],[],2023
Not Dead Yet,6.9,"Follows Nell Serrano, broke, newly single and feeling old, who is working to restart the life and career she left behind 10 years ago.",Comedy,[],[],2023
Mafia Mamma,5.3,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business.","Action, Comedy, Crime",[],[],2023
Lucky Hank,6.8,"An English department chairman at an underfunded college, Professor Hank Devereaux toes the line between midlife crisis and full-blown meltdown, navigating the offbeat chaos in his personal and professional life.","Comedy, Drama",[],[],2023
 Queen Charlotte A Bridgerton Story,7.5,Charlotte demands a declaration from George ahead of the future king's arrival. Lady Danbury and Princess Augusta cross swords over the Great Experiment.,"Drama, History, Romance",[],[],2023
 Ted Lasso,8.3,News of a top player looking to move to London sends the English clubs into a frenzy. Richmond play their first game back in the Premier League.,"Comedy, Drama, Sport",[],[],2020
Hello Tomorrow ,6.3,"In a retro-futuristic world, charismatic salesman Jack Billings leads a team of fellow sales associates determined to revitalize their customers' lives by hawking timeshares on the moon.","Comedy, Drama, Sci-Fi",[],[],2023
 Star Trek Picard,9.0,"Picard, Riker and crew must confront the sins of their past as the Titan drifts helplessly in a mysterious space anomaly.","Action, Adventure, Drama",[],[],2020
 Ted Lasso,7.1,"With their season in a tailspin, Richmond try to right the ship against mighty Manchester City. Off the pitch, everyone faces their own setbacks.","Comedy, Drama, Sport",[],[],2020
Based on a True Story,7.3,"A realtor, a former tennis star, and a plumber seize a unique opportunity to capitalize on America's obsession with true crime.",Comedy,[],[],2023
Taj Divided by Blood,7.0,Follows the dark side of the story of the Mughal empire and its emperors.,"Drama, History",[],[],2023
 Ted Lasso,7.9,"Richmond adjust to an exciting change, but Jamie has reservations. Ted learns there's something new going on back in Kansas as well.","Comedy, Drama, Sport",[],[],2020
School Spirits,7.6,"Maddie, a teen stuck in the afterlife investigating her own disappearance, goes on a crime-solving journey as she adjusts to high school purgatory.","Drama, Fantasy",[],[],2023
 Secret Invasion,7.4,Nick Fury learns of a clandestine invasion of Earth by Skrulls.,"Action, Adventure, Drama",[],[],2023
 Velma,2.7,"Teenage outcast Velma Dinkley is accused of murdering a popular classmate and has 24 hours to find the real killer, but she's sworn off mysteries forever.","Animation, Adventure, Comedy",[],[],2023
Polite Society,6.7,"Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting her friends' help, she attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.","Action, Comedy",[],[],2023
Black Clover Sword of the Wizard King,7.6,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King,"" to overcome adversity, prove his power, and keep his oath with his friends.","Animation, Action, Adventure",[],[],2023
The Gold,7.4,"Drama series inspired by true events surrounding the 1983 Brink's-Mat robbery, and the remarkable story that followed.","Crime, Drama, History",[],[],2023
Turn of the Tide,7.7,Four friends whose lives changed forever with the arrival of a ton of cocaine.,Drama,[],[],2023
 Star Trek Picard,8.2,"Aided by Seven of Nine and the crew of the U.S.S. Titan, Picard makes a shocking discovery that will alter his life forever - and puts him on a collision course with the most cunning enemy ...                See full summary »","Action, Adventure, Drama",[],[],2020
Custody,6.7,"Constable Siva is assigned to escort a witness from police custody to the courtroom. As a twist in the plot, Siva learns that the entire police department wants the witness dead and starts the real run.","Action, Drama, Thriller",[],[],2023
Beautiful Disaster,5.2,"College freshman, Abby, tries to distance herself from her dark past while resisting her attraction to bad boy, Travis.","Drama, Romance",[],[],2023
The Big Door Prize,6.4,"About the residents of a small town called Deerfield, who one day discover a magical, destiny-predicting machine in their grocery store.","Comedy, Drama, Sci-Fi",[],[],2023
The Magician s Elephant,6.5,An orphaned boy is told by a fortune teller that an elephant will help him find his lost sister.,"Animation, Adventure, Comedy",[],[],2023
 Star Trek Picard,9.0,"Caught by Starfleet and facing court martial, paranoia grows as Picard struggles to uncover whether a prodigal crewman from his past has returned as an ally - or an enemy hellbent on destroying them all.","Action, Adventure, Drama",[],[],2020
 Star Trek Picard,8.5,"Picard grapples with a life-altering revelation as the crew of the Titan attempt to outmaneuver Vadic, while Raffi and Worf uncover a plot by a vengeful enemy.","Action, Adventure, Drama",[],[],2020
 Star Trek Picard,9.0,"Now on the run, Picard and the skeleton crew of the USS Titan must break into Starfleet's most top secret facility to expose a plot that could destroy the Federation. Picard must turn to an old friend for help.","Action, Adventure, Drama",[],[],2020
IB 71,8.5,A two- front war between Indian intelligence agencies and the Pakistani establishment.,"Action, Thriller",[],[],2023
Tin Tina,4.7,"After a tragic abort, Lola and her husband Adolfo adopt Tin and Tina, two lovely brother and sister with an ultra-catholic education that makes them interpret Holy Bible verbatim.","Horror, Mystery, Thriller",[],[],2023
Class of 07,7.3,"When an apocalyptic tidal wave hits during the ten-year reunion of an all-girls high school, a group of women must find a way to survive on the island peak of their high school campus.",Comedy,[],[],2023
 Ted Lasso,8.2,Everyone's feeling the pressure as Richmond gear up to play West Ham. Ted is reunited with an old friend.,"Comedy, Drama, Sport",[],[],2020
American Born Chinese,7.1,"Jin Wang is an average teenager balancing high school and home life. When he meets a new foreign student on the first day of the school, even more worlds collide as Jin is unwittingly entangled in a battle with Chinese mythological gods.","Action, Adventure, Comedy",[],[],2023
Hogwarts Legacy,8.9,"Set during the late 1800s, a newly enrolled student at Hogwarts discovers that they possess the unusual ability to perceive and master Ancient Magic, becoming the key to an old secret that threatens to tear the wizarding world apart.","Action, Adventure, Fantasy",[],[],2023
John Mulaney Baby J,7.5,"A chaotic intervention. An action packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.","Documentary, Comedy",[],[],2023
Drops of God,8.1,A woman discovers the world's greatest wine collection that's left by her estranged father and competes against his protege to claim her inheritance.,Drama,[],[],2023
Virupaksha,7.3,"Mysterious deaths occur in a village due to an unknown person's occult practices. The whole town is afraid, and the problems continue as they search for the one responsible.","Action, Drama, Mystery",[],[],2023
Dada,8.2,"A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life.","Drama, Family, Romance",[],[],2023
SK Sir Ki Class,8.3,"It is often said that UPSC is not a race, but a marathon that prepares you for your life. Will Ashish succeed in winning the marathon of his life under the guidance of SK Sir and his lessons of patience, perseverance and dedication?",Drama,[],[],2023
Wellmania,6.7,"Follows Liv who, when she has a major health crisis, is forced to rethink her 'live fast die young' attitude.","Comedy, Drama",[],[],2023
Money Shot The Pornhub Story,5.4,Follow the rise of the most famous adult entertainment platform and the recent backlash it has received.,Documentary,[],[],2023
Liaison,6.4,"A high-stakes, contemporary thriller exploring how the mistakes of our past have the potential to destroy our future.","Drama, Thriller",[],[],2023
Heat Is On,8.1,"When his childhood best friend Cyril and his lover Aradhya are kidnapped, Abhi tries to figure out the truth behind it",Thriller,[],[],2023
The Swarm,5.7,Ecological thriller about the delicate interconnectedness between mankind and Earth.,"Drama, Mystery, Sci-Fi",[],[],2023
Gulmohar,7.7,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,"Drama, Family",[],[],2023
There s Something Wrong with the Children,4.9,"A family takes a weekend trip with longtime friends and their two young children, but, they suspect something supernatural when the kids behave strangely after disappearing into the woods overnight.","Horror, Mystery",[],[],2023
Faraway,6.7,"Zeynep is unhappy. That's why she flees to a Croatian island, where her deceased mother bought a house long ago. She hopes to find peace and relaxation finally - but she hasn't reckoned with Josip, who still lives on the property.","Comedy, Drama, Romance",[],[],2023
A Beautiful Life,6.4,"Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party.","Drama, Music, Romance",[],[],2023
 Barry,9.2,Barry's breakout looms over everyone around him. Sally coaches her new protegé. The Chechens' reappearance threatens Hank and Cristobal's new business venture.,"Action, Comedy, Crime",[],[],2018
True Lies,5.2,A bored linguistics professor discovers after 17 years that her tech salesman husband is secretly a top international spy. Now she has a use for her martial arts workouts and endless supply of languages.,"Action, Adventure, Comedy",[],[],2023
Transatlantic,6.5,"An American journalist who spent 13 months in France 1940-41 managed to arrange safe passage to the US for over 2,000 refugees; who were in danger of losing their lives.","Drama, History",[],[],2023
 Velma,2.6,Daphne's moms search for a drug dealer; Velma's dad defends Fred in court; Velma and Norville try to scrape up $500 to pay Daphne for the police files on Velma's missing mother.,"Animation, Adventure, Comedy",[],[],2023
Hell s Paradise Jigokuraku,8.5,A squad of prisoners and their guards are sent to investigate a mysterious island. They get stranded there and must rely on each other to survive the island's mysterious and monstrous residents.,"Animation, Action, Adventure",[],[],2023
About My Father,5.8,"When Sebastian tells his old-school Italian immigrant father Salvo that he is going to propose to his all-American girlfriend, Salvo insists on crashing a weekend with her tony parents.",Comedy,[],[],2023
 Vinland Saga,9.6,"Thorfinn is caught off guard and knocked unconscious in a fight with the servants. In the midst of this, he had a dream in which he sees his father and his arch-enemy. How will they respond to the current state of Thorfinn?","Animation, Action, Adventure",[],[],2019
 Star Wars The Bad Batch,8.9,Clones battle against a Separatist hold out.,"Animation, Action, Adventure",[],[],2021
 Silo,8.2,Sheriff Becker's plans for the future are thrown off course after his wife meets a hacker with information about the silo.,"Drama, Mystery, Sci-Fi",[],[],2023
Trial by Fire,7.8,"Difficult yet resilient journey of two parents - Neelam and Shekhar Krishnamoorthy, trying to seek justice over the last two decades.","Crime, Drama, History",[],[],2023
On a Wing and a Prayer,5.5,"After their pilot dies unexpectedly mid-flight, Doug White (Dennis Quaid) has to safely land the plane and save his entire family from insurmountable danger.",Drama,[],[],2023
Accused,7.1,"Chronicles ordinary people getting caught up in extraordinary situations, where one wrong turn leads to another, until it's too late to turn back.","Crime, Drama",[],[],2023
The Ritual Killer,4.2,A detective on the verge of retirement teams with a professor of African Studies to track down a serial killer who is performing the ancient black magic practice of Muti.,"Crime, Mystery, Thriller",[],[],2023
Bupkis,7.4,"Follows Pete Davidson's life, combining grounded storytelling with some absurd elements from the worldview for which Davidson is well known.",Comedy,[],[],2023
Rafuchakkar,8.0,"A twisted story of Pawan Kumar aka Prince who is accused of carrying out bizarre scams from diet biscuits to low-cost airlines. A man of many shades, is he a swindler or just an honest man tangled in the web spun around him?","Action, Thriller",[],[],2023
Clock,5.0,"A woman enrolls in a clinical trial to try and fix her seemingly broken biological clock after friends, family, and society pressures her to have children.","Horror, Thriller",[],[],2023
 Oshi No Ko ,8.7,A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.,"Animation, Drama, Fantasy",[],[],2023
Chokehold,5.7,"A couple from Istanbul, settling in a village in the Aegean region to start a new and peaceful life. However, they will quickly realize that they have many enemies in this village.","Drama, Thriller",[],[],2023
 Star Trek Picard,8.7,Vadic forces Picard to make an impossible choice: deliver what he can never give - or watch his crew perish. Their only salvation lies in the mind of an old friend and old foe.,"Action, Adventure, Drama",[],[],2020
Maybe I Do,4.9,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage.","Comedy, Romance",[],[],2023
10 Days of a Good Man,6.5,"A lawyer turned private investigator takes on a missing person case, propelling him on an unexpected and life-altering quest.","Crime, Drama, Mystery",[],[],2023
Grease Rise of the Pink Ladies,5.9,A brainy misfit sees her reputation decline and her popularity rise when she runs for student council president.,"Comedy, Musical, Romance",[],[],2023
The Nurse,6.9,A new nurse at a hospital begins to suspect that her colleague's desire for attention might be tied to a series of patient deaths.,"Biography, Crime, Drama",[],[],2023
Iratta,7.7,"After a cop is found dead, a policeman's investigation starts a chilling search for the truth connected to his estranged twin and their fraught past.","Drama, Thriller",[],[],2023
Night Court,5.8,"Follows judge Abby Stone, as she presides over the night shift of a Manhattan arraignment court and tries to bring order to its crew.",Comedy,[],[],2023
 Barry,9.1,Sally begins teaching her acting class. Gene is unsure of the article. Barry's deal gets underway. Hank's past confronts him.,"Action, Comedy, Crime",[],[],2018
 Taaza Khabar,8.5,"Vasya's dream of owning the villa comes true, and his mother and team move in. However, his blessing turns into a curse as this kind-hearted man slowly becomes a megalomaniac.","Action, Comedy, Drama",[],[],2023
Tiny Beautiful Things,7.2,"Follows a woman who reluctantly becomes Dear Sugar; an anonymous and revered advice columnist, even when her own life is falling apart.","Comedy, Drama",[],[],2023
The Crowded Room,6.9,"In Manhattan in the summer of 1979, a young man is arrested for a shocking crime, and an unlikely investigator must solve the mystery behind it before the true criminal strikes again.","Biography, Crime, Drama",[],[],2023
Yaathisai,8.6,A periodical fiction based on the 7th-century Pandiyan prince Ranadheeran who ruled during a time when the Chola dynasty lost its power and its people were forced to live in the woods.,"Action, Drama, History",[],[],2023
 Barry,7.7,"Roughly ten years after Barry's escape, Barry and Sally struggle with their new identity.","Action, Comedy, Crime",[],[],2018
Infiesto,5.5,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.","Crime, Drama, Thriller",[],[],2023
 Silo,8.3,"In her hunt for a new sheriff, Mayor Jahns clashes with Bernard. Juliette strikes a deal to keep the generator running.","Drama, Mystery, Sci-Fi",[],[],2023
Shubh Nikah,9.0,"Families of two different cultures join hands and come together for love, humanity, and peace with a strong message of national integrity","Drama, Family, Romance",[],[],2023
Bloodhounds,8.1,"In order to pay off their debt, three daring youths jump into the money-lending business while confronting the rich and powerful who prey on the weak.","Action, Crime, Drama",[],[],2023
Jubilee,8.4,"Thrilling yet poetic tale woven around an ensemble of characters and the gambles they're willing to take, in pursuit of their dreams, passion, ambition and love",Drama,[],[],2023
Class,6.2,What happens when three kids from the other side of the track join a posh international Delhi school? CLASS follows the dramatic dynamics of this upmarket school and the tumultuous events that follow.,"Crime, Drama, Thriller",[],[],2023
 Vinland Saga,9.8,Thorfinn is determined to face the brutal challenge of having to endure one hundred punches in order to speak with Canute. His father's words resonate with him as he undergoes this brutal but necessary task.,"Animation, Action, Adventure",[],[],2019
 Star Trek Picard,8.2,"Crippled, cornered, and out of options, Picard stages a gambit to trap Vadic and reveal her true motive - a gamble that puts the Titan in the crosshairs and forces Picard and Beverly to question every moral code they've ever held.","Action, Adventure, Drama",[],[],2020
House Party,4.4,"From New Line Cinema comes your VIP ticket into the hottest event of the year:""House Party,"" the remix to the fan-favorite '90s classic.",Comedy,[],[],2023
 Star Wars The Bad Batch,9.1,A new friend is made on a harsh and unforgiving outpost planet.,"Animation, Action, Adventure",[],[],2021
 Silo,8.1,"Juliette, an engineer, pieces together what might have led to a co-worker's mysterious death.","Drama, Mystery, Sci-Fi",[],[],2023
Thankam,7.1,"Muthu (Biju Menon) and Kannan (Vineeth Sreenivasan) are Gold Agents from Thrissur, the Gold Capital of India. The movie portrays their travel to Mumbai to distribute gold and the following mishaps they face at their journey.","Crime, Drama",[],[],2023
 South Park,8.4,The prince of Canada and his wife try to find privacy and seclusion in a small mountain town.,"Animation, Comedy",[],[],1997
The Walking Dead Dead City,7.9,Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.,"Adventure, Horror, Thriller",[],[],2023
 The Idol,5.4,"As Jocelyn preps for her triumphant return, a leaked photo sends her team into crisis mode - just as a journalist arrives to do an in-depth profile on her. Later, Jocelyn has a chance encounter with nightclub owner Tedros.",Drama,[],[],2023
Fatal Attraction,6.3,"A deep-dive reimagining of the classic 80's thriller, exploring timeless themes of marriage and infidelity through the lens of modern attitudes toward strong women, personality disorders and coercive control.","Drama, Thriller",[],[],2023
 Demon Slayer Kimetsu no Yaiba,9.5,"Tanjiro, Genya, and Nezuko chase the real body of Upper Moon 4. Tanjiro soon realizes, that the difficult choices are the toughest to make, especially ones with emotion.","Animation, Action, Adventure",[],[],2019
Jinny s Kitchen,9.1,"Succeeding 'Youn's Kitchen', Lee Seo Jin will be running a new franchise restaurant abroad that specializes in Korean street food. The show features fellow actors Lee, Jung Yu-mi, Park Seo-joon, Choi Woo-shik and world star BTS V.",Reality-TV,[],[],2023
Gumraah,6.5,The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,"Action, Crime, Drama",[],[],2023
Who Were We Running From ,5.7,"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat.","Crime, Drama, Mystery",[],[],2023
 Beef,8.6,The consequences of their actions leave Danny and Amy in a surreal situation that tests their grasp on reality.,"Comedy, Drama",[],[],2023
Knights of the Zodiac,4.5,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Action, Adventure, Drama",[],[],2023
 Barry,8.3,Barry deals with his past in prison while finding Fuches with him. Sally returns home. Gene has a spark of new fame after his help with capturing Barry.,"Action, Comedy, Crime",[],[],2018
The Days,7.3,"Blamed by some, hailed as heroes by others, those involved with Fukushima Daiichi face a deadly, invisible threat an unprecedented nuclear disaster.","Drama, History, Thriller",[],[],2023
Muted,5.6,"Sergio hasn't spoken since the day he murdered his parents. Six years later, a teen girl may be the key to revealing the whole story.","Crime, Drama, Mystery",[],[],2023
 Poker Face,8.4,"When a close friend meets an untimely end, Charlie Cale, a casino cocktail waitress with an uncanny knack for identifying lies, is determined to unravel these mysterious events, even if it endangers her own life.","Comedy, Crime, Drama",[],[],2023
Jogira Sara Ra Ra,8.7,"Jogi the match maker and Dimple who seeks help to him to get rid of her marriage, both face the consequences as it is eventually decided that Jogi will marry her to save face.","Comedy, Drama, Family",[],[],2023
Full Swing,8.0,"Follows behind the scenes of what it takes to compete and win at the highest levels in men's professional golf, following the PGA players through their wins and losses.","Documentary, Sport",[],[],2023
Love to Hate You,7.9,"For an attorney who despises losing to men and an A-list actor who distrusts women, love means nothing - until they're forced to date each other.","Comedy, Romance",[],[],2023
U Turn,6.9,"Motorists who take an illegal U-turn on a flyover die mysteriously. Radhika, who is interning to be a journalist, is investigating it. However, she becomes the prime suspect by a twist of fate. What happens next?","Crime, Drama, Horror",[],[],2023
The Black Demon,3.6,"Stranded on a crumbling rig in Baja, a family faces off against a vengeful megalodon shark.","Horror, Sci-Fi, Thriller",[],[],2023
Ugram,7.8,"K. Shiva Kumar, a CI is assigned to investigate recent disappearances. An accident leaves him injured, and upon recovery, he finds his wife and daughter missing. Determined to reunite with his family, he embarks on a relentless search.","Action, Drama, Romance",[],[],2023
Crater,5.3,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to permanently leaving the Moon and relocated to another planet.","Adventure, Drama, Family",[],[],2023
UP65,8.1,"Friends, Masti and College days. A raw depiction of days of college nostalgia. Takes you down memory lane",Comedy,[],[],2023
 Star Wars The Bad Batch,9.0,"Brought into a risky mission, the Batch must use stealth to survive.","Animation, Action, Adventure",[],[],2021
 Beef,9.0,"Danny moves from fear into panic as new crises arise. Willing to do whatever it takes to keep June safe, Amy devises a perilous plan.","Comedy, Drama",[],[],2023
 Barry,8.5,Barry gets an unexpected visitor. Hank and Cristobal attempt to restart their operations. Gene tells his story. Sally deals with the aftermath of having dated Barry.,"Action, Comedy, Crime",[],[],2018
Christopher,6.3,"A maverick cop is forced to work outside the limits of law, when the system fails.The story weaves across the past and present while revealing the motives that shape his actions.","Action, Crime, Drama",[],[],2023
 Barry,8.7,Sally and John Jr. travel to LA. Hank sends men to eliminate Fuches. Gene takes an enticing meeting about the film project.,"Action, Comedy, Crime",[],[],2018
 Demon Slayer Kimetsu no Yaiba,9.3,"When a group of Goldfish Demons attacks the Swordsmith Village, Mitsuri's crow informs her about the attack. Mitsuri heads to the rescue of the village.","Animation, Action, Adventure",[],[],2019
 Vinland Saga,9.7,Thorfinn and Canute attempt to begin to engage in peace discussions for Ketil's farmland.,"Animation, Action, Adventure",[],[],2019
 Demon Slayer Kimetsu no Yaiba,8.7,"All the Upper Rank Demons assemble at the Infinity Castle after Upper Six Demons' defeat. Meanwhile, Tanjiro heads to the Swordsmith Village.","Animation, Action, Adventure",[],[],2019
 Barry,8.4,Barry heads to LA to track down Cousineau. Fuches gets out of prison. Sally struggles to parent John.,"Action, Comedy, Crime",[],[],2018
Big George Foreman,6.6,The life and boxing career of George Foreman.,"Biography, Drama, Sport",[],[],2023
A Thousand and One,7.1,"After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City.","Crime, Drama",[],[],2023
 Star Wars The Bad Batch,8.7,A conspiracy begins to unravel.,"Animation, Action, Adventure",[],[],2021
Last Sentinel,5.0,"A platoon of soldiers are stranded in an abandoned military base on a near future Earth waiting for the relief or the enemy, whichever comes first.","Drama, Sci-Fi, Thriller",[],[],2023
 Beef,7.6,A run-in with a hostile motorist sends Danny into a rage -- and a tense chase across town. Amy's unexpected guest leaves a lasting impression.,"Comedy, Drama",[],[],2023
Legion of Super Heroes,5.8,"Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Superman mentors her. Meanwhile, she must contend with a mysterious group called the Dark Circle who searches for a powerful weapon held in the Academy's vault.","Animation, Action, Sci-Fi",[],[],2023
Outlast,4.9,"In the extreme Alaskan wild, 16 survivalists compete for a chance to win a massive cash prize but these lone wolves must be part of a team to win.","Adventure, Game-Show, Reality-TV",[],[],2023
Beyond Paradise,7.4,"DI Humphrey Goodman takes up post in Devon. But with a high crime rate, maybe things will be louder than expected.","Crime, Drama, Mystery",[],[],2023
Rough Diamonds,7.2,Follows a Jewish Ultra-Orthodox family in Belgium's Antwerp Diamond Square Mile.,"Crime, Drama, Thriller",[],[],2023
Dear Edward,7.2,"A 12-year-old boy becomes the lone survivor of a plane crash. As he and others affected by the tragedy try to make sense of what happened, unexpected friendships, romances, and communities are formed.",Drama,[],[],2023
Mr King,8.7,Shiva is an RJ who is doing his thesis on airplane mechanism while Seetharama is cunning and complex. Umadevi and Vennela both fell in love with Shiva. How will Shiva untangle the love triangle and manage Seetharama Raju's twisted game?,Drama,[],[],2023
Scoop,7.7,A journalist's life takes a 360 because of the very system that made her who she is. Will she fight or will she concede?,"Biography, Crime, Drama",[],[],2023
Shaitan,7.8,The narrative focuses on the plight of her children who battle demons of different kinds and ultimately choose violence. The story is narrated from the point of view of Baali (Rishi) who is...                See full summary »,"Action, Crime, Drama",[],[],2023
Sanctuary,8.0,"A man who is driven to the edge of a cliff and believes that money, a woman, and fame are all buried in the ring, And goes up to a sumo rikishi.","Drama, Sport",[],[],2023
 Star Wars The Bad Batch,7.2,The Bad Batch plans a risky heist.,"Animation, Action, Adventure",[],[],2021
